"doc_id","filename","region","authority","title","year","link","doc_to_cite"
"f8151a07-cd8d-4a40-9530-b819c95b216b","1-s2.0-S0010482525011643-main.pdf",,,,,"https://doi.org/10.1016/j.compbiomed.2025.110813","Farina et al. (2025). *Spatio-temporal deep learning with temporal attention for indeterminate lung nodule classification*. Computers in Biology and Medicine."
"7c3360f9-800c-4fe2-9511-c687e2964234","1-s2.0-S0040595724002063-main.pdf",,,,,"https://doi.org/10.1016/j.therap.2024.10.062","Cucherat et al. (2024). *Methodological expectations for demonstration of health product effectiveness by observational studies*. Elsevier Masson SAS on behalf of Société française de pharmacologie et de thérapeutique."
"88e1da01-355a-463f-b1c5-a53437488951","1-s2.0-S0040595724002130-main.pdf",,,,,"https://doi.org/10.1016/j.therap.2024.12.005","Soeiro et al. (2024). *Shaping the future of pharmacoepidemiology in France: Recommendations from the SFPT Pharmacoepidemiology Working Group*. Pharmacoepidemiology."
"624e1f32-1874-415f-8f7e-9507e3559c7e","1-s2.0-S0895435625001544-main.pdf",,,,,"https://doi.org/10.1016/j.jclinepi.2025.111821","Devane et al. (2025). *Beyond the binary: integrating ''real-world evidence'' with randomized trials in contemporary health care*. Journal of Clinical Epidemiology."
"02560bef-89da-4f1c-863e-e488195ddddd","1-s2.0-S1078817424003791-main.pdf",,,,,"https://doi.org/10.1016/j.radi.2024.12.018","Lindholz et al. (2025). *Analyzing the TotalSegmentator for facial feature removal in head CT scans*. Radiology."
"e7665358-f061-43f6-b3bc-70851763cc26","1-s2.0-S1098301521031879-main.pdf",,,,,"https://doi.org/10.1016/j.jval.2021.11.1356","Hogervorst, M. A., Vreman, R. A., Mantel-Teeuwisse, A. K., & Goettsch, W. G. (2022). *Reported Challenges in Health Technology Assessment of Complex Health Technologies*. Value in Health."
"8c3e5ed8-f099-4f70-b665-ef961ee3548b","1-s2.0-S1359644622004263-main.pdf",,,,,"https://doi.org/10.1016/j.drudis.2022.103433","Callenbach, M. H. E., Ádám, I., Vreman, R. A., Németh, B., Kaló, Z., & Goettsch, W. G. (2021). *Reimbursement and payment models in Central and Eastern European as well as Middle Eastern countries: A survey of their current use and future outlook*."
"e779e1b8-9c5e-4d35-8d07-e57addb0dd79","1-s2.0-S1386505624002120.pdf",,,,,"https://doi.org/10.1016/j.ijmedinf.2024.105549","Gómez-Rico Junquero et al. (2024). *Transforming experimental radiology: Design and implementation of an innovative ePACS image storage system for AI imaging research environments*. International Journal of Medical Informatics."
"f06ebf8e-c6bb-4f61-8f59-77a41e943e3c","1-s2.0-S1471489225000827-main.pdf",,,,,"https://doi.org/10.1016/j.coph.2025.102586","García-Parra, B., Guiu, J. M., Povedano, M., & Modamio, P. (2026). *Real-world evidence supporting orphan drugs approvals for rare neuromuscular disorders in the European Union and the United States: Review of public assessment reports (2015-2025)*. Current Opinion in Pharmacology."
"88509778-7f59-4ff6-b291-6790b4becf87","1-s2.0-S1472648325000148-main.pdf",,,,,"https://doi.org/10.1016/j.rbmo.2025.104807","Griesinger et al. (2025). *Bridging ideal studies and real-world practice: the potential role of real-world evidence in reproductive medicine*. Reproductive Healthcare Ltd."
"8d573ddb-5294-4693-8369-91de1df98d32","1-s2.0-S2153353924000397-main.pdf",,,,,"https://doi.org/10.1016/j.jpi.2024.100400","Journal of Pathology Informatics. (2024). *AI drives the assessment of lung cancer microenvironment composition*."
"d3b65e3b-f2a0-426b-a2f3-4f952369e4a1","1-s2.0-S2212109924001018-main.pdf",,,,,"https://doi.org/10.1016/j.vhri.2024.101068","Nugraha et al. (2025). *Using Real-World Evidence for Health Technology Assessment in Asia: Suggested Typology and Scoping Review*. Value in Health Regional Issues."
